Year,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)","Total emissions due to deforestation (CO2e/yr, megatonnes)","Total net emissions or removals to the atmosphere, all causes (CO2e/yr, megatonnes)","Net emissions or removals due to natural disturbances (CO2e/yr, megatonnes)","Net emissions or removals due to human forest management activities and from harvested wood products (CO2e/yr, megatonnes)"
2020,0.2,11.5,3.5,8.8,-5.3
2019,0.3,11.6,151.5,161.7,-10.2
2018,0.3,11.5,262.8,260.1,2.6
2017,0.4,11.8,225.2,227.5,-2.4
2016,0.4,12,97.2,99.5,-2.2
2015,0.5,11.8,263.2,260.9,2.3
2014,0.5,11.6,161.8,165.7,-4
2013,0.6,11.3,41.1,45.2,-4.1
2012,0.6,10.4,104.1,111.6,-7.5
2011,0.7,10.4,139.8,143.2,-3.4
2010,0.7,10.5,106.6,110.1,-3.5
2009,0.8,10.9,40.8,61.2,-20.4
2008,0.8,11.5,27.8,36.5,-8.7
2007,0.9,11.8,79.1,83.4,-4.3
2006,0.9,11.9,79,78.9,
2005,1,11.9,65,53.7,11.3
2004,1,12.1,146.2,140.9,5.3
2003,1,12.3,53.2,77.1,-23.9
2002,1,12.5,88.4,109.1,-20.6
2001,1,12.4,-44.7,-5.9,-38.8
2000,1,12.9,-63,-39.4,-23.6
1999,1,13.8,-18.7,19.8,-38.5
1998,1,13.9,111.1,164.7,-53.6
1997,1.1,13.7,-81.5,-38.9,-42.6
1996,1.1,14.1,-39,3.2,-42.3
1995,1.1,14.5,132.2,168.7,-36.5
1994,1.1,15.7,-48.5,4.5,-52.9
1993,1.1,16.5,-57.7,-1.5,-56.2
1992,1.1,18.5,-111.8,-47.7,-64.1
1991,1.1,20.1,-72.2,3.9,-76.1
1990,1.1,21.8,-99.5,-27.2,-72.3
