Year,latitude,longitude,Size
2015,49 54.927,121 53.365,2985
2015,49 28.106,121 15.285,7.7
2015,49 27.708,121 52.363,1386
2015,50 12.657,123 31.746,5.7
2015,50 22.651,123 33.343,12495
2015,50 40.719,123 22.056,6735
2015,49 58.270,123 40.697,16
2015,49 31.267,123 48.901,423
2015,49 44.950,123 30.511,30
2015,48 28.116,123 54.154,5.9
2015,48 48.560,123 56.541,16
2015,48 49.509,123 50.919,9.7
2015,48 37.690,124 14.317,400
2015,49 03.490,123 50.403,18
2015,49 15.523,124 59.083,450
2015,50 43.766,127 31.535,17
2015,53 34.924,126 43.398,437
2015,54 47.151,127 11.746,5
2015,53 02.332,127 27.507,1159.3
2015,56 09.485,129 02.195,8.2
2015,53 18.885,128 25.619,142.3
2015,58 49.452,132 55.607,700
2015,59 29.509,128 34.681,15000
2015,58 47.386,133 10.218,8743
2015,59 15.737,132 26.992,4070
2015,57 49.092,130 25.576,12
2015,59 54.687,134 01.261,23
2015,53 41.451,123 26.004,25000
2015,53 54.111,122 57.496,6
2015,54 56.399,122 15.169,6.1
2015,54 05.475,120 19.405,440
2015,53 50.920,121 23.665,54
2015,53 29.953,123 13.447,11.85
2015,52 59.543,119 18.672,29.7
2015,53 16.785,120 05.737,50
2015,53 32.465,123 45.190,420
2015,54 42.085,124 47.858,6.1
2015,54 45.837,124 50.912,6.7
2015,55 23.578,124 05.950,44
2015,57 15.933,125 06.450,37.5
2015,55 57.803,123 46.334,31
2015,58 13.383,126 52.143,12845
2015,58 12.100,125 46.593,1626.5
2015,56 21.999,123 52.000,5340
2015,55 53.008,120 47.853,44
2015,55 40.863,121 40.031,8.6
2015,55 11.877,120 16.429,15
2015,55 17.290,121 44.250,6.5
2015,55 09.020,121 29.728,5.6
2015,56 16.516,121 12.260,28.5
2015,56 14.367,121 03.759,38
2015,57 37.069,121 11.429,545
2015,58 14.090,120 28.499,19
2015,57 31.601,121 24.917,41
2015,57 57.640,121 30.559,905
2015,57 51.579,120 58.940,12
2015,57 53.676,120 00.981,81
2015,56 52.892,121 30.762,7.8
2015,57 54.280,120 09.180,20000
2015,57 41.830,121 21.730,20
2015,57 33.145,121 10.776,20
2015,57 44.491,122 44.174,15
2015,58 14.969,121 26.862,47
2015,59 44.853,124 17.835,139.2
2015,58 03.900,122 28.100,1966.8
2015,58 47.900,120 50.670,38.4
2015,59 17.370,122 54.890,5.2
2015,59 24.080,121 07.668,25.3
2015,58 57.602,124 17.810,18070.6
2015,59 04.685,120 01.517,393.8
2015,59 31.062,127 51.924,35327.7
2015,59 33.816,125 16.800,305.8
2015,59 25.913,121 10.039,946.7
2015,58 59.267,124 59.717,223.7
2015,58 17.900,123 13.700,61.8
2015,59 40.207,121 04.340,7.1
2015,59 21.316,121 04.983,207
2015,59 37.703,121 25.226,4175.6
2015,59 27.467,120 44.833,22.5
2015,59 33.780,121 30.330,5.5
2015,59 37.931,126 41.535,366.4
2015,59 41.421,120 49.236,2204.6
2015,59 46.406,121 00.274,1280.4
2015,59 51.216,121 20.453,13498.6
2015,59 38.107,120 01.326,6254.2
2015,59 11.069,122 21.875,1047
2015,59 31.630,121 13.399,22
2015,59 15.483,121 37.200,27.2
2015,59 14.000,120 00.001,1918.3
2015,58 04.780,121 57.449,2421.1
2015,58 44.567,123 07.450,3994.4
2015,58 59.103,122 01.615,1399.4
2015,59 05.964,121 33.826,39.3
2015,59 46.011,120 20.374,3151.8
