Year,latitude,longitude,Size,Geographic
2015,49.91545,-121.8894167,2985,Cougar Creek
2015,49.46843333,-121.25475,7.7,Coquihalla Highway
2015,49.4618,-121.8727167,1386,Wood Lake
2015,50.21095,-123.5291,5.7,Elaho
2015,50.37751667,-123.5557167,12495,Elaho 67km
2015,50.67865,-123.3676,6735,Boulder Creek
2015,49.97116667,-123.6782833,16,Vancouver Bay
2015,49.52111667,-123.8150167,423,Old Sechelt Mine
2015,49.74916667,-123.5085167,30,Clowhom
2015,48.4686,-123.9025667,5.9,11km Muir Creek
2015,48.80933333,-123.94235,16,East of Skutz Falls
2015,48.82515,-123.84865,9.7,Hillcrest
2015,48.62816667,-124.2386167,400,Spring Rd 1km from Lizard Lake
2015,49.05816667,-123.84005,18,2 Miles E of Nanaimo Airport
2015,49.25871667,-124.9847167,450,Dog Mountain
2015,50.72943333,-127.5255833,17,Tsulquate River
2015,53.58206667,-126.7233,437,Whitesail Lake
2015,54.78585,-127.1957667,5,"Zobnick Rd, Smithers"
2015,53.03886667,-127.45845,1159.3,Kapella River
2015,56.15808333,-129.0365833,8.2,South of Bell Irving
2015,53.31475,-128.4269833,142.3,Europa Lake
2015,58.8242,-132.9267833,700,Inklin River
2015,59.49181667,-128.5780167,15000,Red River
2015,58.78976667,-133.1703,8743,King Salmon River Basin
2015,59.26228333,-132.4498667,4070,Langhorse Mountain
2015,57.8182,-130.4262667,12,Kakiddi Creek
2015,59.91145,-134.0210167,23,West of Mount Minto
2015,53.69085,-123.4334,25000,26km on Norman Lk FSR
2015,53.90185,-122.9582667,6,Nechako River
2015,54.93998333,-122.2528167,6.1,Sentinel Peak
2015,54.09125,-120.3234167,440,Kakwa Park
2015,53.84866667,-121.3944167,54,Grizzley Den Sugarbowl Area
2015,53.49921667,-123.2241167,11.85,Punchaw Road
2015,52.99238333,-119.3112,29.7,Swift Current Creek
2015,53.27975,-120.0956167,50,Mcbride
2015,53.54108333,-123.7531667,420,Chilako River
2015,54.70141667,-124.7976333,6.1,East side of Tachie River
2015,54.76395,-124.8485333,6.7,10km Hart FSR
2015,55.39296667,-124.0991667,44,Manson Creek
2015,57.26555,-125.1075,37.5,Akie M/L
2015,55.96338333,-123.7722333,31,North of Canty Creek
2015,58.22305,-126.86905,12845,Frog River
2015,58.20166667,-125.77655,1626.5,Gataga River
2015,56.36665,-123.8666667,5340,"5.5 Miles East of Ospika Arm, Williston ..."
2015,55.88346667,-120.79755,44,Sunset Prairie
2015,55.68105,-121.6671833,8.6,Hillside Subdivision in Chetwynd
2015,55.19795,-120.2738167,15,5 km Noel Road
2015,55.28816667,-121.7375,6.5,Rocky Creek
2015,55.15033333,-121.4954667,5.6,Bull Moose
2015,56.27526667,-121.2043333,28.5,Bear Flats
2015,56.23945,-121.06265,38,Wilder Creek
2015,57.61781667,-121.1904833,545,West Gutah Creek
2015,58.23483333,-120.4749833,19,Fontas River area
2015,57.52668333,-121.4152833,41,Conroy Creek area
2015,57.96066667,-121.5093167,905,Sikanni Chief River
2015,57.85965,-120.9823333,12,Between Kantah River and Gutah Creek
2015,57.8946,-120.01635,81,10NM North of Paddy Airstrip
2015,56.88153333,-121.5127,7.8,Km 29 on Mile 98 Rd
2015,57.90466667,-120.153,20000,15 nm N of Patty Airstrip
2015,57.69716667,-121.3621667,20,Silver Lakes
2015,57.55241667,-121.1796,20,Silver Main at W Gutah Creek
2015,57.74151667,-122.7362333,15,14 miles SE of Prophet River
