"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
V50055,2023,Full,04/16/2023,04/17/2023,Out,Person,2,5,55,Feather Cove,50.0626,-124.8208,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50055
K20046,2023,Monitor,04/15/2023,04/18/2023,Out,Person,5,2,46,Sedge Creek,50.8495,-120.9573,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20046
K40911,2023,Full,06/24/2023,06/25/2023,Out,Person,5,4,911,9km Posthill Lake Road,49.9981,-119.2835,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40911
V80793,2023,Full,06/15/2023,06/15/2023,Out,Person,2,8,793,Memekay River,50.2028,-125.7693,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80793
V80514,2023,Full,05/27/2023,05/28/2023,Out,Person,2,8,514,Friendly Cove,49.5938,-126.629,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80514
K40922,2023,Full,06/25/2023,06/26/2023,Out,Person,5,4,922,Larch Hills Trail,50.7229,-119.1994,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40922
V10597,2023,,06/03/2023,06/16/2023,Out,Unknown,2,1,597,N of Francis Lake,49.338,-121.8452,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10597
V80681,2023,Full,06/08/2023,06/12/2023,Out,Person,2,8,681,Mary Lake,50.1097,-125.4196,0.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80681
G70226,2023,Full,01/01/2023,05/24/2023,Out,Person,4,7,226,Pingel Creek,56.0829,-120.708,3.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70226
G10065,2023,Full,04/20/2023,04/25/2023,Out,Person,4,1,65,Trapping Creek,53.5533,-122.6301,16.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10065
G70168,2023,Full,04/30/2023,05/10/2023,Out,Person,4,7,168,South Pouce Coupe River,55.6734,-120.1005,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70168
V60282,2023,Full,05/11/2023,05/14/2023,Out,Person,2,6,282,Gordon River Main,48.6091,-124.4301,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60282
V50257,2023,Full,05/09/2023,05/12/2023,Out,Person,2,5,257,2.5km N of Davie Bay,49.6196,-124.4054,0.05,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50257
R40749,2023,Full,06/12/2023,06/19/2023,Out,Person,3,4,749,4.5km NE of Keynton Lake,55.2482,-127.7183,0.74,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40749
N20349,2023,Full,05/16/2023,05/17/2023,Out,Person,6,2,349,Bernais Draw,50.4953,-115.9053,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N20349
K50276,2023,Full,05/12/2023,05/12/2023,Out,Person,5,5,276,Venner Creek,49.8341,-119.7925,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50276
G70243,2023,Full,05/06/2023,05/09/2023,Out,Person,4,7,243,West Moberley,55.7926,-121.952,1.69,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70243
G10199,2023,Full,05/04/2023,05/04/2023,Out,Person,4,1,199,Ellcott Creek,53.8332,-122.7214,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10199
V70519,2023,Full,05/28/2023,05/29/2023,Out,Person,2,7,519,N of Englishman River,49.2242,-124.4323,0.02,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70519
R50682,2023,,06/08/2023,06/11/2023,Out,Person,3,5,682,W side of Thunderbird Gravel Pit,54.4479,-128.5922,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50682
C30362,2023,Full,05/18/2023,05/21/2023,Out,Person,7,3,362,SW of Gammarus Lake,52.2944,-121.4431,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30362
R50707,2023,Full,06/10/2023,06/12/2023,Out,Person,3,5,707,Steinhoe Creek,54.5359,-128.5502,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50707
V60840,2023,Full,06/22/2023,06/22/2023,Out,Person,2,6,840,Bonanza Bluffs,48.6715,-123.6606,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60840
V80829,2023,Full,06/20/2023,06/29/2023,Out,Person,2,8,829,Mozino Point,49.8649,-126.6741,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80829
K50729,2023,Full,06/11/2023,06/16/2023,Out,Person,5,5,729,3.5 Km Bear Creek,49.9387,-119.5279,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50729
N61080,2023,Full,07/02/2023,07/02/2023,Out,Person,6,6,1080,Belchrome FSR,49.1164,-119.151,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N61080
K60127,2023,Full,04/29/2023,05/05/2023,Out,Person,5,6,127,Snake Road,50.1469,-120.8489,38.65,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60127
C50014,2023,Monitor,04/06/2023,04/24/2023,Out,Person,7,5,14,W of Tsuniah Lake,51.5213,-124.1623,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50014
K60049,2023,Full,04/16/2023,04/18/2023,Out,Person,5,6,49,South of Stirling Creek,50.0423,-120.8439,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60049
G40299,2023,Full,05/13/2023,05/15/2023,Out,Person,4,4,299,Leona Creek,53.9844,-123.825,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40299
K20028,2023,Full,04/14/2023,04/14/2023,Out,Person,5,2,28,Wolsey Road,51.1721,-120.1481,0.124,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20028
V60605,2023,Full,06/04/2023,06/04/2023,Out,Unknown,2,6,605,N of Stocking Creek,48.9542,-123.8117,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60605
V80888,2023,Full,06/24/2023,06/26/2023,Out,Person,2,8,888,Lukwa Lake,49.9648,-125.437,0.45,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80888
V80494,2023,Full,05/21/2023,05/23/2023,Out,Person,2,8,494,Village Bay Lake,50.1903,-125.2015,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80494
C50072,2023,Modified,04/21/2023,05/02/2023,Out,Person,7,5,72,W of Taseko Lake Road,51.8913,-123.2319,47.76,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50072
K20012,2023,Full,04/05/2023,04/05/2023,Out,Person,5,2,12,Orchard Road,51.0021,-120.2217,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20012
C40109,2023,Full,04/28/2023,05/10/2023,Out,Person,7,4,109,N of Fiftyseven Creek,51.2228,-121.5611,10.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40109
C40056,2023,Full,04/17/2023,04/21/2023,Out,Person,7,4,56,N of Bridge Creek,51.6071,-121.2255,1.03,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40056
C40128,2023,Full,04/29/2023,05/11/2023,Out,Person,7,4,128,S of Lost Valley Road,51.3709,-120.9989,113,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40128
V30104,2023,Full,04/27/2023,05/01/2023,Out,Person,2,3,104,Lillooet Lake Road,50.3125,-122.6772,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30104
G10137,2023,Full,04/29/2023,04/29/2023,Out,Person,4,1,137,Salmon Valley Rd.,54.0894,-122.5859,0.62,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10137
C40147,2023,Full,04/30/2023,05/02/2023,Out,Person,7,4,147,SW of Komori Road,51.3067,-121.3799,3.78,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40147
