x,y,Fire_NUM,Year,RSPNCE_TYP,Ignition_Date,Fire_Out_Date,Status,Fire_Cause,Fire_Center,Zone,Fire_ID,Location,Latitude,Longitude,Size,Link
1047954.639,1340369.084,G61629,2023,Full,07/10/2023,07/16/2023,Out,Lightning,4,6,1629,Tsaydiz Creek,57.0508,-125.2085,1.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61629
1544105.022,716615.4803,N41844,2023,Full,07/17/2023,07/18/2023,Out,Lightning,6,4,1844,Marth Creek Provincial Park,51.193,-118.1912,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41844
1457832.518,516129.4318,K50564,2023,Full,06/01/2023,06/03/2023,Out,Lightning,5,5,564,Blue Mountain,49.4774,-119.6781,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50564
1318099.609,1157313.06,G71361,2023,Full,07/08/2023,07/10/2023,Out,Lightning,4,7,1361,Murray River,55.3116,-120.9729,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71361
1386087.544,559514.25,K61449,2023,Full,07/09/2023,07/10/2023,Out,Lightning,5,6,1449,Kidd Lake,49.9195,-120.6192,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61449
751112.9959,1458682.669,R91746,2023,Full,07/14/2023,07/17/2023,Out,Lightning,3,9,1746,Convale Creek,58.0478,-130.2196,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R91746
1380656.465,514573.8963,K61950,2023,,07/20/2023,07/22/2023,Out,Lightning,5,6,1950,Mt Jackson,49.5202,-120.7411,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61950
1270893.399,1298492.007,G80641,2023,Full,06/05/2023,06/09/2023,Out,Lightning,4,8,641,Inga Creek,56.602,-121.5777,3.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80641
1201846.74,1169862.265,G71281,2023,Full,07/06/2023,07/08/2023,Out,Lightning,4,7,1281,John Bennet Creek,55.4844,-122.7979,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71281
1457169.386,513895.8978,K50484,2023,Full,05/21/2023,05/25/2023,Out,Lightning,5,5,484,Shingle Creek,49.4579,-119.69,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50484
1383352.704,558040.8146,K61940,2023,Full,07/09/2023,07/21/2023,Out,Lightning,5,6,1940,Minnie Lake,49.9082,-120.6587,1.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K61940
1116257.096,1061799.343,G51302,2023,Full,07/08/2023,07/10/2023,Out,Lightning,4,5,1302,Murray Ridge,54.5439,-124.1985,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51302
1254029.854,1481056.847,G80802,2023,Full,06/14/2023,06/18/2023,Out,Lightning,4,8,802,Sikanni Old Growth Park,58.2454,-121.6702,0.25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80802
1466683.68,492091.7833,K50186,2023,Full,05/03/2023,05/03/2023,Out,Lightning,5,5,186,Victoria Creek,49.2548,-119.5866,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50186
1696989.003,660337.9531,N20215,2023,Full,05/04/2023,05/05/2023,Out,Lightning,6,2,215,Houlgrave Road,50.5205,-116.1344,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N20215
1294808.785,1618452.45,G91154,2023,Full,07/05/2023,07/09/2023,Out,Lightning,4,9,1154,Helmet Airstrip,59.4522,-120.8059,2.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91154
1222042.223,1559382.049,G91728,2023,Full,07/10/2023,07/16/2023,Out,Lightning,4,9,1728,9.5km East of Snake River,58.9642,-122.1416,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91728
